original_name,vlink,releasedate,members,group_name
Jessi (제시) - '눈누난나 (NUNU NANA)' Dance Practice,81Fp_94rEFg,2020-08-01,female,Jessi
에이프릴(APRIL) - PARADISE _ 안무 영상 (Dance Practice),8ocY4kgvkhQ,2020-08-04,female,April
Weki Meki 위키미키 - Tiki-Taka(99%) DANCE PRACTICE,SBme5juz3HU,2020-08-08,female,Weki Meki
"MOMOLAND(모모랜드) - ""짠쿵쾅 (JJan! Koong! Kwang!)"" Dance Practice",4sFoDHcyG8s,2016-11-17,female,Momoland
"AleXa (알렉사) - ""Bomb"" (Soribada Ver.) Dance Practice 안무 연습 영상",NB_rhTOJrJs,2020-08-20,female,AleXa
"ITZY ""Not Shy"" Dance Practice",d7ZvOX8qZlc,2020-08-22,female,ITZY
"ITZY ""Not Shy"" Dance Practice (Moving Ver.)",lMC6_j37TLE,2020-08-21,female,ITZY
"ITZY ""Not Shy"" Dance Practice (낫량특집 Ver.)",qFQRHOUOT5M,2020-08-27,female,ITZY
"ITZY ""Not Shy"" Dance Practice (Villain Ver.)",3OyjE2U2h14,2020-09-02,female,ITZY
"ITZY ""Not Shy"" Dance Practice (Hanbok Ver.)",zjfAL6BnmH8,2020-09-05,female,ITZY
러블리즈(Lovelyz) 'Obliviate' Dance Practice,U44ynVRDEzE,2020-09-10,female,Lovelyz
SoRi(소리) -  'Initial S' (이니셜 S) Dance Practice,9sMAta920fo,2020-09-02,female,Sori
[CHOREOGRAPHY] BOTOPASS(보토패스) - 'Flamingo' Dance Practice,TNsCBWxml8c,2020-09-04,female,Botopass
[Dance PractiX] 'DDALALA' Dance Practice,_akEwsfrQxg,2020-09-27,female,XUM
시그니처(cignature) - '아리송 (ARISONG)' Dance Practice Video,SHssbP7zSUs,2020-09-27,female,cignature
[LUNARSOLAR] 루나솔라 '노는 게 제일 좋아(OH YA YA YA)' Dance Practice (Hanbok Ver.),A-IJBfth_eg,2020-10-01,female,Lunarsolar
BLACKPINK - 'Lovesick Girls' DANCE PRACTICE VIDEO,YxksUfnuEbI,2020-10-08,female,Blackpink
Weki Meki 위키미키 - COOL DANCE PRACTICE,GjBEMPKOg5g,2020-10-10,female,Weki Meki
LEE SUHYUN - ‘ALIEN’ DANCE PRACTICE,WrUKg03v7wo,2020-10-17,female,Lee Suhyun
"AleXa (알렉사) – ""Revolution"" Dance Practice",pW-vuTGlUzY,2020-10-27,female,AleXa
[MAMAMOO] '넌 is 뭔들' 사복안무영상 - Dance Practice Video,bjBst20P7A8,2016-03-11,female,Mamamoo
오마이걸(OH MY GIRL)_CUPID_(Dance Practice Video),WObFahz5KVY,2015-05-20,female,Oh My Girl
"TWICE ""I CAN'T STOP ME"" Dance Practice Video",TPpmOzpHiE0,2020-11-02,female,Twice
[CHOREOGRAPHY] GFRIEND (여자친구) ‘MAGO’ Dance Practice,tJf-vlcTXBA,2020-11-11,female,GFriend
"이달의 소녀 (LOONA) ""Why Not?"" Dance Practice Video",HdisHDtjGUw,2020-11-12,female,LOONA
STAYC(스테이씨) 'SO BAD' Dance Practice,dmvZlwD9_0c,2020-11-14,female,StayC
나띠(NATTY) - ‘Teddy Bear’ Dance Practice,OBk5lVzKEhU,2020-11-14,female,Natty
TWICE「BETTER」Dance Practice Video,cbzjs4Gji_4,2020-11-18,female,Twice
블링블링(Bling Bling) - 'G.G.B' 안무 연습 영상 (Dance Practice Video),2N1IVUTOiXI,2020-11-23,female,Bling Bling
"SECRET NUMBER ""Got That Boom"" Dance Practice",8Y6wMw2j2o8,2020-11-24,female,Secret Number
aespa 에스파 'Black Mamba' Dance Practice,NU611fxGyPU,2020-11-26,female,Aespa
"SECRET NUMBER ""PRIVACY"" Dance Practice",UrByqFtnEaQ,2020-11-27,female,Secret Number
"모모랜드(MOMOLAND) ""Ready Or Not"" Dance Practice",SnSIyrxyW1g,2020-12-03,female,Momoland
블링블링(Bling Bling) - 'G.G.B' 안무 연습 영상 (Dance Practice Video) 교복 ver. High School ver.,RSuCkOo8WWU,2020-12-07,female,Bling Bling
블링블링(Bling Bling) -  '너 나랑 놀래?(LA LA LA)' One-Take Dance Practice,53XVd4_MSEA,2020-12-10,female,Bling Bling
