original_name,vlink,releasedate,members,group_name
[CHOREOGRAPHY] BTS (방탄소년단) '피 땀 눈물 (Blood Sweat & Tears)' Dance Practice,v8z1TtlY1no,2016-10-18,male,BTS
[CHOREOGRAPHY] BTS (방탄소년단) '봄날 (Spring Day)' Dance Practice,_AlODdAInRY,2017-03-03,male,BTS
[CHOREOGRAPHY] BTS (방탄소년단) 'Not Today' Dance Practice,_PwYjNh1bww,2017-06-06,male,BTS
[CHOREOGRAPHY] BTS (방탄소년단) 'DNA' Dance Practice,GEIU_7v40Dw,2017-09-24,male,BTS
[CHOREOGRAPHY] BTS (방탄소년단) 'FAKE LOVE' Dance Practice,nQySbNGu4g0,2018-05-27,male,BTS
[CHOREOGRAPHY] BTS (방탄소년단) 'IDOL' Dance Practice,bhWXw56puNY,2018-09-02,male,BTS
[BANGTAN BOMB] '고민보다 GO (GOGO)' Dance Practice (Halloween ver.) - BTS (방탄소년단),Fl54gG0B8I0,2017-09-18,male,BTS
[BANGTAN BOMB] '21세기 소녀 (21st Century Girl)' Dance Practice (Halloween ver.) - BTS (방탄소년단),6tUumjx2BWw,2016-10-28,male,BTS
[BANGTAN BOMB] '뱁새' Dance Practice (흥 ver.) - BTS (방탄소년단),V1i_x2_TGE0,2016-06-01,male,BTS
방탄소년단 팔도강산(Paldogangsan) Dance practice,Vi6-zq3YuEg,2013-09-11,male,BTS
[CHOREOGRAPHY] BTS (방탄소년단) '좋아요 Part 2' Dance Practice,u2XBh23upio,2017-06-07,male,BTS
[CHOREOGRAPHY] BTS (방탄소년단) 'Beautiful' dance practice,sm4FFFBgbmg,2014-06-05,male,BTS
"TWICE ""FANCY"" Dance Practice Video",iRw4kL1CMI8,2019-04-23,female,Twice
[DALsooobin] 'Katchup' 안무영상 Dance practice,ewrKosCJN6A,2019-04-24,female,Dalsooobin
[SPECIAL VIDEO] IZ*ONE (아이즈원) - 비올레타 (Violeta) Dance Practice Close up Ver.,wnTWDHiBRpQ,2019-04-25,female,IZ*ONE
"Stray Kids ""승전가(Victory Song)"" Dance Practice Video",ccUd38yVgMs,2019-04-26,male,Stray Kids
"수지(Suzy) ""Yes No Maybe"" Dance Practice (Close Up Ver.)",fMepe_sNMSw,2017-01-28,female,Suzy
"수지(Suzy) ""Yes No Maybe"" Dance Practice",D06IjyMoco4,2017-01-24,female,Suzy
TXT (투모로우바이투게더) ‘Cat & Dog’ Dance Practice,JKp80jCzho0,2019-04-28,male,TXT
"BVNDIT(밴디트) - ""Hocus Pocus"" Dance Practice",aXsxhUTQIb8,2019-04-16,female,BVNDIT
THE BOYZ(더보이즈) 'Bloom Bloom' DANCE PRACTICE VIDEO,Nq11uIywxDQ,2019-05-02,male,The Boyz
THE BOYZ(더보이즈) 'Bloom Bloom' DANCE PRACTICE VIDEO (Hero Costume ver.),c4ecxTP0Tnc,2019-05-05,male,The Boyz
[CHOREOGRAPHY] BTS (방탄소년단) 'Dionysus' Dance Practice,QmgcyLozkbQ,2019-05-05,male,BTS
TXT (투모로우바이투게더) ‘Cat & Dog’ Dance Practice (Animal ver.),xlTGcoynI0k,2019-05-06,male,TXT
[SPECIAL VIDEO] NU'EST (뉴이스트) - BET BET Dance Practice Close Up Ver.,fcLLylGkxaQ,2019-05-07,male,NU'EST
[BANGTAN BOMB] '작은 것들을 위한 시 (Boy With Luv)' Dance Practice (Eye contact ver.) - BTS (방탄소년단),o03lR8ErvL0,2019-05-08,male,BTS
TXT (투모로우바이투게더) '어느날 머리에서 뿔이 자랐다 (CROWN)’ Dance Practice (CU ver),xbMQ1QKRY9Y,2019-05-12,male,TXT
EXID(이엑스아이디) - 'ME&YOU' 안무 영상(Dance Practice Video),sFcvadzj684,2019-05-15,female,EXID
"ITZY ""WANT IT?"" Dance Practice",L4fRGgARiKw,2019-05-18,female,ITZY
[Thank you for L.O.ᄉ.E] NU'EST (뉴이스트) - BET BET Dance Practice Winning #1 Ver.,q4CgjXW4v8Q,2019-05-18,male,NU'EST
"레이디스 코드(LADIES' CODE) ""FEEDBACK (너의 대답은)"" Dance Practice",yfYESegPHIE,2019-05-24,female,Ladies' code
"GOT7 ""ECLIPSE"" Dance Practice (Directed by Jackson)",jD3LhVh33XU,2019-05-26,male,GOT7
TXT (투모로우바이투게더) ‘Cat & Dog’ Dance Practice (Appeal ver.),V2NBFDF24MU,2019-05-26,male,TXT
"GOT7 ""ECLIPSE"" Dance Practice",cCpqA-WcEq8,2019-05-28,male,GOT7
[CHOREOGRAPHY] BTS (방탄소년단) 'MIC Drop' Dance Practice (MAMA dance break ver.) #2019BTSFESTA,eRkpkveBWyo,2017-09-18,male,BTS
[Dance Practice] 우주소녀 (WJSN) - Boogie Up Fixed Cam Ver.,hIs_Qw_-08s,2019-06-06,female,WJSN
[CHOREOGRAPHY] BTS (방탄소년단) '봄날 (Spring Day)' Dance Practice (Lovely ver.) #2019BTSFESTA,8ZbPyzh3pio,2019-06-08,male,BTS
Weki Meki 위키미키 - 너 하고 싶은 거 다 해 DANCE PRACTICE (PE Class Ver.),5DKU9GXibOU,2019-06-11,female,Weki Meki
ATEEZ(에이티즈) - 'WAVE' Dance Practice,N8ycGT0zyfM,2019-06-13,male,ATEEZ
NCT DREAM 엔시티 드림 'GO' Dance Practice,5AEYijM9zPM,2018-04-17,male,NCT DREAM
A.C.E(에이스) - UNDER COVER Dance Practice,lvPl-M3r-hk,2019-06-15,male,A.C.E
[Dance Practice] 몬스타엑스 (MONSTA X) - DRAMARAMA,TbdPEsW233o,2017-11-23,male,MONSTA X
[Dance Practice] 우주소녀 (WJSN) - Boogie Up Moving Cam Ver.,s6-j-lvf0FQ,2019-06-16,female,WJSN
NCT DREAM 엔시티 드림 'We Go Up' Dance Practice,QLXvgzik5lU,2018-09-08,male,NCT DREAM
"ATEEZ(에이티즈) - 'HALA HALA (Hearts Awakened, Live Alive)' Dance Practice",wWhCCXmOl3g,2019-02-16,male,ATEEZ
[Dance Practice] 몬스타엑스 (MONSTA X) - 히어로(HERO) Fix ver.,hb_yGZ9nJik,2015-10-25,male,MONSTA X
A.C.E(에이스) - Mr.Bass Dance Practice,6szBswGnRNQ,2019-06-18,male,A.C.E
