original_name,vlink,releasedate,members,group_name
"JJ Project ""Tomorrow, Today(내일, 오늘)"" Dance Practice",tBfujEqPNfs,2017-08-01,male,JJ Project
"GOT7 ""HOME RUN"" Dance Practice",u_q58Ck3rVQ,2016-04-12,male,GOT7
"GOT7 ""HOME RUN"" Dance Practice (Boyfriend Ver.)",5EJopYNfhZo,2016-04-18,male,GOT7
"GOT7 ""Lullaby"" Dance Practice (Boyfriend Ver.)",WJPLSVkdZAc,2018-09-23,male,GOT7
"GOT7 ""Never Ever"" Dance Practice (Unreleased Ver.)",6ZKOUwEw0Go,2018-04-09,male,GOT7
[Dance Practice] UP10TION(업텐션) Your Gravity,6-0N4mI88_M,2019-08-28,male,UP10TION
THE BOYZ(더보이즈) ‘D.D.D’ DANCE PRACTICE VIDEO,0q4g4HmAV5w,2019-08-28,male,The Boyz
지코(ZICO) - Artist Dance Practice,8ysqkswG99c,2017-07-14,male,Zico
PSY - DADDY (Dance Practice),pGBbvAGnTxA,2015-12-09,male,PSY
TAEMIN 'Famous' Dance Practice,moqQ2UKn_4A,2019-08-16,male,Taemin
[CHOREOGRAPHY] X1(엑스원) 'FLASH' Dance Practice,p5VoKYWISL0,2019-09-04,male,X1
EXO 엑소 'LOVE ME RIGHT' Dance Practice,GcHHIGpWqRM,2015-07-24,male,EXO
NCT DREAM 엔시티 드림 'We Young' Dance Practice #Moving Ver.,DsDHns8ht04,2017-08-27,male,NCT DREAM
NCT DREAM 엔시티 드림 'We Young' Dance Practice,wF6Zq_MOG6E,2017-08-25,male,NCT DREAM
"Jus2 ""FOCUS ON ME"" Dance Practice (ME Ver. / Feat. Sexy Boyfriend)",k33hwFc-SpE,2019-03-14,male,Jus2
"Jus2 ""FOCUS ON ME"" Dance Practice (FOCUS Ver.)",ynrMoff6ols,2019-03-08,male,Jus2
"Jus2 ""FOCUS ON ME"" Dance Practice (ON Ver.)",Z1JrpATCKOg,2019-03-12,male,Jus2
더보이즈(THE BOYZ) 'Giddy Up' DANCE PRACTICE VIDEO,VOCH6_Eytj8,2018-04-04,male,The Boyz
더보이즈(THE BOYZ) '소년(BOY)'  DANCE PRACTICE VIDEO,D5MRgXsDDMc,2017-12-26,male,The Boyz
